prompt,completion
Generate a fantasy weapon of type: scythe,"Name: Pike of Storms
Damage Type: Physical
Damage: 2d6
Properties: Blessed, Cursed, Vampiric
Description: A scythe of haunting beauty, disrupts magical barriers upon its enemies."
"Generate a name for a physical longbow with the following properties: sharpened, soulbound, runic",Shadow Falchion
Write a description for a weapon called 'Shadow Falchion',"A longbow of unspeakable power, creates illusions to confuse foes upon its enemies."
Generate a fantasy weapon of type: longbow,"Name: Shadow Falchion
Damage Type: Physical
Damage: 3d8
Properties: Sharpened, Soulbound, Runic
Description: A longbow of unspeakable power, creates illusions to confuse foes upon its enemies."
"Generate a name for a arcane crossbow with the following properties: legendary, sharpened, spectral",Kraken Glaive of Souls
Write a description for a weapon called 'Kraken Glaive of Souls',"When bathed in moonlight, this crossbow reveals hidden enemies."
Generate a fantasy weapon of type: crossbow,"Name: Kraken Glaive of Souls
Damage Type: Arcane
Damage: 3d12
Properties: Legendary, Sharpened, Spectral
Description: When bathed in moonlight, this crossbow reveals hidden enemies."
Generate a name for a physical claymore with the following properties: ,The Radiant Saber
Write a description for a weapon called 'The Radiant Saber',"Forged in the depths of Demon's Crucible, this claymore drains life from those it cuts."
Generate a fantasy weapon of type: claymore,"Name: The Radiant Saber
Damage Type: Physical
Damage: 1d12
Properties: 
Description: Forged in the depths of Demon's Crucible, this claymore drains life from those it cuts."
Generate a name for a nature greatsword with the following properties: ,Claymore of Vengeance
Write a description for a weapon called 'Claymore of Vengeance',"Wielded long ago by King Thoran, this greatsword amplifies magical abilities."
Generate a fantasy weapon of type: greatsword,"Name: Claymore of Vengeance
Damage Type: Nature
Damage: 2d4
Properties: 
Description: Wielded long ago by King Thoran, this greatsword amplifies magical abilities."
Generate a name for a nature longsword with the following properties: ,Staff of the Abyss
Write a description for a weapon called 'Staff of the Abyss',"A longsword found in an ancient tomb, it creates illusions to confuse foes with every strike."
Generate a fantasy weapon of type: longsword,"Name: Staff of the Abyss
Damage Type: Nature
Damage: 3d12
Properties: 
Description: A longsword found in an ancient tomb, it creates illusions to confuse foes with every strike."
"Generate a name for a poison hammer with the following properties: sentient, runic, spectral",Serpent Hammer
Write a description for a weapon called 'Serpent Hammer',"King Thoran's favored hammer, known to leaves wounds that never heal."
Generate a fantasy weapon of type: hammer,"Name: Serpent Hammer
Damage Type: Poison
Damage: 1d6
Properties: Sentient, Runic, Spectral
Description: King Thoran's favored hammer, known to leaves wounds that never heal."
"Generate a name for a force spear with the following properties: ethereal, balanced",Aegis Longsword of the Fallen
Write a description for a weapon called 'Aegis Longsword of the Fallen',"Wielded long ago by King Thoran, this spear protects against dark magic."
Generate a fantasy weapon of type: spear,"Name: Aegis Longsword of the Fallen
Damage Type: Force
Damage: 3d4
Properties: Ethereal, Balanced
Description: Wielded long ago by King Thoran, this spear protects against dark magic."
"Generate a name for a shadow wand with the following properties: ethereal, ancient",Dread Sword of Eternity
Write a description for a weapon called 'Dread Sword of Eternity',"This wand burns with eternal flames, making it terrifying presence."
Generate a fantasy weapon of type: wand,"Name: Dread Sword of Eternity
Damage Type: Shadow
Damage: 2d4
Properties: Ethereal, Ancient
Description: This wand burns with eternal flames, making it terrifying presence."
"Generate a name for a arcane mace with the following properties: elemental, enchanted, runic",Maul of unspeakable power
Write a description for a weapon called 'Maul of unspeakable power',"Said to have belonged to Oracle Zephyrus, this mace slows time during combat."
Generate a fantasy weapon of type: mace,"Name: Maul of unspeakable power
Damage Type: Arcane
Damage: 2d4
Properties: Elemental, Enchanted, Runic
Description: Said to have belonged to Oracle Zephyrus, this mace slows time during combat."
"Generate a name for a lightning greatsword with the following properties: spectral, vampiric, cursed",The Frost Dagger
Write a description for a weapon called 'The Frost Dagger',"Forged in the depths of Kraken's Deep, this greatsword hungers for the blood of enemies."
Generate a fantasy weapon of type: greatsword,"Name: The Frost Dagger
Damage Type: Lightning
Damage: 3d4
Properties: Spectral, Vampiric, Cursed
Description: Forged in the depths of Kraken's Deep, this greatsword hungers for the blood of enemies."
Generate a name for a thunder halberd with the following properties: ,Longsword of the Void
Write a description for a weapon called 'Longsword of the Void',"Said to have belonged to Blacksmith Durin, this halberd protects against dark magic."
Generate a fantasy weapon of type: halberd,"Name: Longsword of the Void
Damage Type: Thunder
Damage: 2d8
Properties: 
Description: Said to have belonged to Blacksmith Durin, this halberd protects against dark magic."
"Generate a name for a chaos blade with the following properties: mythical, enchanted",Staff of perfect weight
Write a description for a weapon called 'Staff of perfect weight',Legend says this blade was stolen from the armory of demons. It reveals invisible creatures.
Generate a fantasy weapon of type: blade,"Name: Staff of perfect weight
Damage Type: Chaos
Damage: 1d12
Properties: Mythical, Enchanted
Description: Legend says this blade was stolen from the armory of demons. It reveals invisible creatures."
Generate a name for a holy glaive with the following properties: ,Glaive of the Cosmos
Write a description for a weapon called 'Glaive of the Cosmos',"Forged in the depths of the Phoenix Peaks, this glaive vibrates in the presence of evil."
Generate a fantasy weapon of type: glaive,"Name: Glaive of the Cosmos
Damage Type: Holy
Damage: 2d4
Properties: 
Description: Forged in the depths of the Phoenix Peaks, this glaive vibrates in the presence of evil."
"Generate a name for a fire pike with the following properties: ancient, mythical, cursed",Halberd of Judgment
Write a description for a weapon called 'Halberd of Judgment',"This pike hums an ancient melody, making it exceptional sharpness."
Generate a fantasy weapon of type: pike,"Name: Halberd of Judgment
Damage Type: Fire
Damage: 3d12
Properties: Ancient, Mythical, Cursed
Description: This pike hums an ancient melody, making it exceptional sharpness."
"Generate a name for a void saber with the following properties: blessed, balanced",Flail of royal heritage
Write a description for a weapon called 'Flail of royal heritage',This saber hungers for the blood of enemies when in the hands of royalty.
Generate a fantasy weapon of type: saber,"Name: Flail of royal heritage
Damage Type: Void
Damage: 2d10
Properties: Blessed, Balanced
Description: This saber hungers for the blood of enemies when in the hands of royalty."
"Generate a name for a lightning sword with the following properties: vorpal, vampiric",Pike of Flames
Write a description for a weapon called 'Pike of Flames',"Wielded long ago by the Fey Queen, this sword instills fear in enemies."
Generate a fantasy weapon of type: sword,"Name: Pike of Flames
Damage Type: Lightning
Damage: 2d10
Properties: Vorpal, Vampiric
Description: Wielded long ago by the Fey Queen, this sword instills fear in enemies."
"Generate a name for a force bow with the following properties: vorpal, balanced, spectral",Dagger of Dragons
Write a description for a weapon called 'Dagger of Dragons',"Wielded long ago by Blacksmith Durin, this bow ignites enemies on contact."
Generate a fantasy weapon of type: bow,"Name: Dagger of Dragons
Damage Type: Force
Damage: 2d6
Properties: Vorpal, Balanced, Spectral
Description: Wielded long ago by Blacksmith Durin, this bow ignites enemies on contact."
"Generate a name for a blood greatsword with the following properties: vampiric, berserker, vorpal",The Ghost Halberd
Write a description for a weapon called 'The Ghost Halberd',"Said to have belonged to the Last Dragon, this greatsword ignites enemies on contact."
Generate a fantasy weapon of type: greatsword,"Name: The Ghost Halberd
Damage Type: Blood
Damage: 2d10
Properties: Vampiric, Berserker, Vorpal
Description: Said to have belonged to the Last Dragon, this greatsword ignites enemies on contact."
Generate a name for a physical spear with the following properties: ,The Thunder Longbow
Write a description for a weapon called 'The Thunder Longbow',Legend says this spear was blessed by seven sages. It reveals invisible creatures.
Generate a fantasy weapon of type: spear,"Name: The Thunder Longbow
Damage Type: Physical
Damage: 2d10
Properties: 
Description: Legend says this spear was blessed by seven sages. It reveals invisible creatures."
Generate a name for a thunder greataxe with the following properties: mythical,Ivory Hammer
Write a description for a weapon called 'Ivory Hammer',This greataxe vibrates in the presence of evil when confronting ancient evils.
Generate a fantasy weapon of type: greataxe,"Name: Ivory Hammer
Damage Type: Thunder
Damage: 2d6
Properties: Mythical
Description: This greataxe vibrates in the presence of evil when confronting ancient evils."
"Generate a name for a blood halberd with the following properties: sharpened, vorpal",The Havoc Shortbow
Write a description for a weapon called 'The Havoc Shortbow',"Forged in the depths of the Eternal Forge, this halberd leaves shadowy trails when swung."
Generate a fantasy weapon of type: halberd,"Name: The Havoc Shortbow
Damage Type: Blood
Damage: 1d4
Properties: Sharpened, Vorpal
Description: Forged in the depths of the Eternal Forge, this halberd leaves shadowy trails when swung."
"Generate a name for a chaos crossbow with the following properties: enchanted, vorpal",Dread Scythe
Write a description for a weapon called 'Dread Scythe',"Said to have belonged to the Twilight Assassin, this crossbow ignites enemies on contact."
Generate a fantasy weapon of type: crossbow,"Name: Dread Scythe
Damage Type: Chaos
Damage: 3d12
Properties: Enchanted, Vorpal
Description: Said to have belonged to the Twilight Assassin, this crossbow ignites enemies on contact."
"Generate a name for a poison crossbow with the following properties: berserker, ethereal",Umbral Trident of Doom
Write a description for a weapon called 'Umbral Trident of Doom',"A crossbow forged in dragon fire, it howls with the voices of past victims with every strike."
Generate a fantasy weapon of type: crossbow,"Name: Umbral Trident of Doom
Damage Type: Poison
Damage: 3d6
Properties: Berserker, Ethereal
Description: A crossbow forged in dragon fire, it howls with the voices of past victims with every strike."
Generate a name for a physical shortbow with the following properties: legendary,Hallowed Whip
Write a description for a weapon called 'Hallowed Whip',"A shortbow grown from a magical seed, it binds victims in ghostly chains with every strike."
Generate a fantasy weapon of type: shortbow,"Name: Hallowed Whip
Damage Type: Physical
Damage: 1d4
Properties: Legendary
Description: A shortbow grown from a magical seed, it binds victims in ghostly chains with every strike."
Generate a name for a lightning longbow with the following properties: ,Jade Spear
Write a description for a weapon called 'Jade Spear',"Oracle Zephyrus's favored longbow, known to causes foes to flee in terror. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: longbow,"Name: Jade Spear
Damage Type: Lightning
Damage: 3d4
Properties: 
Description: Oracle Zephyrus's favored longbow, known to causes foes to flee in terror. Small sparks dance across the surface when wielded."
"Generate a name for a holy blade with the following properties: ethereal, vampiric",Zephyr Halberd
Write a description for a weapon called 'Zephyr Halberd',"This blade shifts its form slightly, making it mysterious origins."
Generate a fantasy weapon of type: blade,"Name: Zephyr Halberd
Damage Type: Holy
Damage: 1d10
Properties: Ethereal, Vampiric
Description: This blade shifts its form slightly, making it mysterious origins."
Generate a name for a poison longbow with the following properties: blessed,Infernal Glaive
Write a description for a weapon called 'Infernal Glaive',"Said to have belonged to King Thoran, this longbow strikes with the force of lightning."
Generate a fantasy weapon of type: longbow,"Name: Infernal Glaive
Damage Type: Poison
Damage: 1d4
Properties: Blessed
Description: Said to have belonged to King Thoran, this longbow strikes with the force of lightning."
Generate a name for a acid pike with the following properties: ancient,Chaos Bow
Write a description for a weapon called 'Chaos Bow',"Wielded long ago by Lich King Morthus, this pike can cut through any armor."
Generate a fantasy weapon of type: pike,"Name: Chaos Bow
Damage Type: Acid
Damage: 1d6
Properties: Ancient
Description: Wielded long ago by Lich King Morthus, this pike can cut through any armor."
Generate a name for a nature scythe with the following properties: blessed,Rapier of Destruction
Write a description for a weapon called 'Rapier of Destruction',"A scythe constructed by clockwork gnomes, it causes foes to flee in terror with every strike."
Generate a fantasy weapon of type: scythe,"Name: Rapier of Destruction
Damage Type: Nature
Damage: 3d10
Properties: Blessed
Description: A scythe constructed by clockwork gnomes, it causes foes to flee in terror with every strike."
"Generate a name for a void katana with the following properties: vampiric, ancient, vorpal",Katana of Conquest
Write a description for a weapon called 'Katana of Conquest',"Said to have belonged to the Dread Pirate Nex, this katana can cleave through stone."
Generate a fantasy weapon of type: katana,"Name: Katana of Conquest
Damage Type: Void
Damage: 3d8
Properties: Vampiric, Ancient, Vorpal
Description: Said to have belonged to the Dread Pirate Nex, this katana can cleave through stone."
"Generate a name for a shadow rapier with the following properties: ancient, spectral, sentient",The Celestial Pike
Write a description for a weapon called 'The Celestial Pike',"A rapier grown from a magical seed, it creates illusions to confuse foes with every strike."
Generate a fantasy weapon of type: rapier,"Name: The Celestial Pike
Damage Type: Shadow
Damage: 3d8
Properties: Ancient, Spectral, Sentient
Description: A rapier grown from a magical seed, it creates illusions to confuse foes with every strike."
Generate a name for a fire staff with the following properties: ,Mithril Claymore of Destruction
Write a description for a weapon called 'Mithril Claymore of Destruction',"A staff of haunting beauty, heals the wielder with each strike upon its enemies."
Generate a fantasy weapon of type: staff,"Name: Mithril Claymore of Destruction
Damage Type: Fire
Damage: 1d8
Properties: 
Description: A staff of haunting beauty, heals the wielder with each strike upon its enemies."
Generate a name for a nature shortbow with the following properties: ,Flail of Flames
Write a description for a weapon called 'Flail of Flames',"Forged in the depths of the Starfall Isles, this shortbow shifts its form slightly."
Generate a fantasy weapon of type: shortbow,"Name: Flail of Flames
Damage Type: Nature
Damage: 1d8
Properties: 
Description: Forged in the depths of the Starfall Isles, this shortbow shifts its form slightly."
Generate a name for a thunder scythe with the following properties: ,Shortbow of Souls
Write a description for a weapon called 'Shortbow of Souls',Legend says this scythe was born from the tears of a goddess. It heals the wielder with each strike.
Generate a fantasy weapon of type: scythe,"Name: Shortbow of Souls
Damage Type: Thunder
Damage: 2d4
Properties: 
Description: Legend says this scythe was born from the tears of a goddess. It heals the wielder with each strike."
"Generate a name for a psychic flail with the following properties: berserker, spectral, cursed",Saber of Conquest
Write a description for a weapon called 'Saber of Conquest',"Wielded long ago by the Fey Queen, this flail freezes foes with a touch."
Generate a fantasy weapon of type: flail,"Name: Saber of Conquest
Damage Type: Psychic
Damage: 1d12
Properties: Berserker, Spectral, Cursed
Description: Wielded long ago by the Fey Queen, this flail freezes foes with a touch."
Generate a name for a chaos saber with the following properties: ,Feral Spear of Conquest
Write a description for a weapon called 'Feral Spear of Conquest',"the Demon Prince's favored saber, known to ignites in brilliant flames."
Generate a fantasy weapon of type: saber,"Name: Feral Spear of Conquest
Damage Type: Chaos
Damage: 2d4
Properties: 
Description: the Demon Prince's favored saber, known to ignites in brilliant flames."
Generate a name for a radiant trident with the following properties: ,Dragon Trident of Power
Write a description for a weapon called 'Dragon Trident of Power',"This trident radiates with celestial power, making it divine blessing."
Generate a fantasy weapon of type: trident,"Name: Dragon Trident of Power
Damage Type: Radiant
Damage: 1d6
Properties: 
Description: This trident radiates with celestial power, making it divine blessing."
Generate a name for a nature greatsword with the following properties: soulbound,Blade of Eternity
Write a description for a weapon called 'Blade of Eternity',"A greatsword of perfect weight, summons spectral allies in battle upon its enemies."
Generate a fantasy weapon of type: greatsword,"Name: Blade of Eternity
Damage Type: Nature
Damage: 3d10
Properties: Soulbound
Description: A greatsword of perfect weight, summons spectral allies in battle upon its enemies."
"Generate a name for a nature wand with the following properties: balanced, mythical",Katana of boundless rage
Write a description for a weapon called 'Katana of boundless rage',"Said to have belonged to King Thoran, this wand instills fear in enemies."
Generate a fantasy weapon of type: wand,"Name: Katana of boundless rage
Damage Type: Nature
Damage: 2d10
Properties: Balanced, Mythical
Description: Said to have belonged to King Thoran, this wand instills fear in enemies."
Generate a name for a chaos crossbow with the following properties: ,Hammer of Dreams
Write a description for a weapon called 'Hammer of Dreams',This crossbow glows with divine light when wielded with courage.
Generate a fantasy weapon of type: crossbow,"Name: Hammer of Dreams
Damage Type: Chaos
Damage: 1d4
Properties: 
Description: This crossbow glows with divine light when wielded with courage."
"Generate a name for a force lance with the following properties: balanced, enchanted",The Mithril Scythe
Write a description for a weapon called 'The Mithril Scythe',"Forged in the depths of Elven Glades, this lance seems to predict its wielder's thoughts."
Generate a fantasy weapon of type: lance,"Name: The Mithril Scythe
Damage Type: Force
Damage: 2d8
Properties: Balanced, Enchanted
Description: Forged in the depths of Elven Glades, this lance seems to predict its wielder's thoughts."
Generate a name for a acid halberd with the following properties: ,The Knight's Claymore
Write a description for a weapon called 'The Knight's Claymore',"Said to have belonged to the Fey Queen, this halberd ignites enemies on contact."
Generate a fantasy weapon of type: halberd,"Name: The Knight's Claymore
Damage Type: Acid
Damage: 1d12
Properties: 
Description: Said to have belonged to the Fey Queen, this halberd ignites enemies on contact."
"Generate a name for a radiant greataxe with the following properties: berserker, corrupted, vampiric",Chaos Rapier of Eternity
Write a description for a weapon called 'Chaos Rapier of Eternity',"A greataxe of demonic corruption, leaves trails of elemental energy upon its enemies."
Generate a fantasy weapon of type: greataxe,"Name: Chaos Rapier of Eternity
Damage Type: Radiant
Damage: 1d8
Properties: Berserker, Corrupted, Vampiric
Description: A greataxe of demonic corruption, leaves trails of elemental energy upon its enemies."
Generate a name for a shadow greatsword with the following properties: ,Serpent Scythe
Write a description for a weapon called 'Serpent Scythe',"Wielded long ago by Lich King Morthus, this greatsword grows stronger with each kill. The weapon seems to absorb light from its surroundings."
Generate a fantasy weapon of type: greatsword,"Name: Serpent Scythe
Damage Type: Shadow
Damage: 1d6
Properties: 
Description: Wielded long ago by Lich King Morthus, this greatsword grows stronger with each kill. The weapon seems to absorb light from its surroundings."
Generate a name for a physical crossbow with the following properties: ,Greatsword of deadly precision
Write a description for a weapon called 'Greatsword of deadly precision',This crossbow drains life from those it cuts when in the hands of royalty.
Generate a fantasy weapon of type: crossbow,"Name: Greatsword of deadly precision
Damage Type: Physical
Damage: 3d10
Properties: 
Description: This crossbow drains life from those it cuts when in the hands of royalty."
Generate a name for a wind crossbow with the following properties: ,Whisper Shortbow of Storms
Write a description for a weapon called 'Whisper Shortbow of Storms',"Forged in the depths of the Starfall Isles, this crossbow freezes the air around it."
Generate a fantasy weapon of type: crossbow,"Name: Whisper Shortbow of Storms
Damage Type: Wind
Damage: 2d10
Properties: 
Description: Forged in the depths of the Starfall Isles, this crossbow freezes the air around it."
Generate a name for a lightning saber with the following properties: sentient,Leviathan Axe of Agony
Write a description for a weapon called 'Leviathan Axe of Agony',"Wielded long ago by Captain Silverhand, this saber freezes foes with a touch."
Generate a fantasy weapon of type: saber,"Name: Leviathan Axe of Agony
Damage Type: Lightning
Damage: 1d8
Properties: Sentient
Description: Wielded long ago by Captain Silverhand, this saber freezes foes with a touch."
Generate a name for a wind shortbow with the following properties: ,Hallowed Trident
Write a description for a weapon called 'Hallowed Trident',"A shortbow of unspeakable power, howls with the voices of past victims upon its enemies."
Generate a fantasy weapon of type: shortbow,"Name: Hallowed Trident
Damage Type: Wind
Damage: 1d8
Properties: 
Description: A shortbow of unspeakable power, howls with the voices of past victims upon its enemies."
Generate a name for a arcane lance with the following properties: ,Halberd of Conquest
Write a description for a weapon called 'Halberd of Conquest',This lance never requires sharpening when confronting ancient evils.
Generate a fantasy weapon of type: lance,"Name: Halberd of Conquest
Damage Type: Arcane
Damage: 2d12
Properties: 
Description: This lance never requires sharpening when confronting ancient evils."
"Generate a name for a nature lance with the following properties: cursed, berserker",Claymore of the Elements
Write a description for a weapon called 'Claymore of the Elements',Legend says this lance was recovered from the depths of the sea. It grows in power during the night.
Generate a fantasy weapon of type: lance,"Name: Claymore of the Elements
Damage Type: Nature
Damage: 2d10
Properties: Cursed, Berserker
Description: Legend says this lance was recovered from the depths of the sea. It grows in power during the night."
Generate a name for a void rapier with the following properties: ,Longsword of deadly precision
Write a description for a weapon called 'Longsword of deadly precision',Legend says this rapier was gifted by a dying wizard. It leaves trails of elemental energy.
Generate a fantasy weapon of type: rapier,"Name: Longsword of deadly precision
Damage Type: Void
Damage: 2d10
Properties: 
Description: Legend says this rapier was gifted by a dying wizard. It leaves trails of elemental energy."
Generate a name for a physical greataxe with the following properties: ,The Lunar Staff
Write a description for a weapon called 'The Lunar Staff',"Wielded long ago by Warlord Grommash, this greataxe instills fear in enemies."
Generate a fantasy weapon of type: greataxe,"Name: The Lunar Staff
Damage Type: Physical
Damage: 1d12
Properties: 
Description: Wielded long ago by Warlord Grommash, this greataxe instills fear in enemies."
"Generate a name for a nature shortbow with the following properties: blessed, berserker, cursed",Mystic Falchion of Nightmares
Write a description for a weapon called 'Mystic Falchion of Nightmares',"A shortbow of mysterious origins, leaves wounds that never heal upon its enemies."
Generate a fantasy weapon of type: shortbow,"Name: Mystic Falchion of Nightmares
Damage Type: Nature
Damage: 3d6
Properties: Blessed, Berserker, Cursed
Description: A shortbow of mysterious origins, leaves wounds that never heal upon its enemies."
"Generate a name for a chaos staff with the following properties: ethereal, legendary",Onyx Flail
Write a description for a weapon called 'Onyx Flail',"This staff shifts its form slightly, making it demonic corruption."
Generate a fantasy weapon of type: staff,"Name: Onyx Flail
Damage Type: Chaos
Damage: 1d6
Properties: Ethereal, Legendary
Description: This staff shifts its form slightly, making it demonic corruption."
"Generate a name for a holy spear with the following properties: balanced, vampiric, blessed",Rapier of incredible durability
Write a description for a weapon called 'Rapier of incredible durability',"Oracle Zephyrus's favored spear, known to creates illusions to confuse foes."
Generate a fantasy weapon of type: spear,"Name: Rapier of incredible durability
Damage Type: Holy
Damage: 3d4
Properties: Balanced, Vampiric, Blessed
Description: Oracle Zephyrus's favored spear, known to creates illusions to confuse foes."
"Generate a name for a void halberd with the following properties: vampiric, enchanted, sentient",Whisper Shortbow
Write a description for a weapon called 'Whisper Shortbow',"This halberd sends shivers down one's spine, making it deadly precision."
Generate a fantasy weapon of type: halberd,"Name: Whisper Shortbow
Damage Type: Void
Damage: 1d8
Properties: Vampiric, Enchanted, Sentient
Description: This halberd sends shivers down one's spine, making it deadly precision."
"Generate a name for a chaos rapier with the following properties: soulbound, vorpal",The Ancient Rapier
Write a description for a weapon called 'The Ancient Rapier',"This rapier shifts its form slightly, making it boundless rage."
Generate a fantasy weapon of type: rapier,"Name: The Ancient Rapier
Damage Type: Chaos
Damage: 3d6
Properties: Soulbound, Vorpal
Description: This rapier shifts its form slightly, making it boundless rage."
Generate a name for a blood crossbow with the following properties: ancient,Onyx Lance of Judgment
Write a description for a weapon called 'Onyx Lance of Judgment',"Forged in the depths of the Shadow Realm, this crossbow burns with eternal flames."
Generate a fantasy weapon of type: crossbow,"Name: Onyx Lance of Judgment
Damage Type: Blood
Damage: 3d10
Properties: Ancient
Description: Forged in the depths of the Shadow Realm, this crossbow burns with eternal flames."
"Generate a name for a holy sword with the following properties: soulbound, sharpened",Chaos Flail
Write a description for a weapon called 'Chaos Flail',"A sword of unspeakable power, leaves wounds that never heal upon its enemies."
Generate a fantasy weapon of type: sword,"Name: Chaos Flail
Damage Type: Holy
Damage: 2d6
Properties: Soulbound, Sharpened
Description: A sword of unspeakable power, leaves wounds that never heal upon its enemies."
"Generate a name for a fire maul with the following properties: balanced, elemental, soulbound",Shortbow of Despair
Write a description for a weapon called 'Shortbow of Despair',Legend says this maul was found in an ancient tomb. It drains the magic from spellcasters. The weapon radiates heat and occasionally bursts into flames.
Generate a fantasy weapon of type: maul,"Name: Shortbow of Despair
Damage Type: Fire
Damage: 2d10
Properties: Balanced, Elemental, Soulbound
Description: Legend says this maul was found in an ancient tomb. It drains the magic from spellcasters. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a blood katana with the following properties: runic,Kraken Greatsword
Write a description for a weapon called 'Kraken Greatsword',"A katana of demonic corruption, drains the magic from spellcasters upon its enemies."
Generate a fantasy weapon of type: katana,"Name: Kraken Greatsword
Damage Type: Blood
Damage: 2d12
Properties: Runic
Description: A katana of demonic corruption, drains the magic from spellcasters upon its enemies."
"Generate a name for a poison whip with the following properties: spectral, ethereal",Mithril Staff of Reckoning
Write a description for a weapon called 'Mithril Staff of Reckoning',"Forged in the depths of Celestial Kingdoms, this whip burns with eternal flames."
Generate a fantasy weapon of type: whip,"Name: Mithril Staff of Reckoning
Damage Type: Poison
Damage: 2d8
Properties: Spectral, Ethereal
Description: Forged in the depths of Celestial Kingdoms, this whip burns with eternal flames."
"Generate a name for a physical falchion with the following properties: blessed, corrupted",Sword of Salvation
Write a description for a weapon called 'Sword of Salvation',"Forged in the depths of the Abyssal Depths, this falchion hums an ancient melody."
Generate a fantasy weapon of type: falchion,"Name: Sword of Salvation
Damage Type: Physical
Damage: 3d8
Properties: Blessed, Corrupted
Description: Forged in the depths of the Abyssal Depths, this falchion hums an ancient melody."
Generate a name for a poison staff with the following properties: spectral,The Havoc Greatsword
Write a description for a weapon called 'The Havoc Greatsword',"Forged in the depths of Dwarven Underhalls, this staff sends shivers down one's spine."
Generate a fantasy weapon of type: staff,"Name: The Havoc Greatsword
Damage Type: Poison
Damage: 2d8
Properties: Spectral
Description: Forged in the depths of Dwarven Underhalls, this staff sends shivers down one's spine."
"Generate a name for a holy maul with the following properties: balanced, sentient, berserker",Greataxe of mysterious origins
Write a description for a weapon called 'Greataxe of mysterious origins',"A maul grown from a magical seed, it binds victims in ghostly chains with every strike."
Generate a fantasy weapon of type: maul,"Name: Greataxe of mysterious origins
Damage Type: Holy
Damage: 1d8
Properties: Balanced, Sentient, Berserker
Description: A maul grown from a magical seed, it binds victims in ghostly chains with every strike."
Generate a name for a chaos bow with the following properties: vampiric,Longbow of Flames
Write a description for a weapon called 'Longbow of Flames',This bow leaves shadowy trails when swung when wielded with courage.
Generate a fantasy weapon of type: bow,"Name: Longbow of Flames
Damage Type: Chaos
Damage: 2d6
Properties: Vampiric
Description: This bow leaves shadowy trails when swung when wielded with courage."
"Generate a name for a physical wand with the following properties: legendary, spectral, mythical",The Shadow Halberd
Write a description for a weapon called 'The Shadow Halberd',Legend says this wand was pulled from the heart of a volcano. It grows in power during the night.
Generate a fantasy weapon of type: wand,"Name: The Shadow Halberd
Damage Type: Physical
Damage: 2d8
Properties: Legendary, Spectral, Mythical
Description: Legend says this wand was pulled from the heart of a volcano. It grows in power during the night."
Generate a name for a fire pike with the following properties: balanced,Dagger of Souls
Write a description for a weapon called 'Dagger of Souls',"This pike freezes the air around it, making it exceptional sharpness. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: pike,"Name: Dagger of Souls
Damage Type: Fire
Damage: 1d10
Properties: Balanced
Description: This pike freezes the air around it, making it exceptional sharpness. The weapon radiates heat and occasionally bursts into flames."
"Generate a name for a wind sword with the following properties: legendary, spectral",Scythe of unparalleled balance
Write a description for a weapon called 'Scythe of unparalleled balance',Legend says this sword was constructed by clockwork gnomes. It summons spectral allies in battle.
Generate a fantasy weapon of type: sword,"Name: Scythe of unparalleled balance
Damage Type: Wind
Damage: 1d12
Properties: Legendary, Spectral
Description: Legend says this sword was constructed by clockwork gnomes. It summons spectral allies in battle."
Generate a name for a ice dagger with the following properties: ,Xenith Saber of Twilight
Write a description for a weapon called 'Xenith Saber of Twilight',"Wielded long ago by Captain Silverhand, this dagger amplifies magical abilities. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: dagger,"Name: Xenith Saber of Twilight
Damage Type: Ice
Damage: 2d8
Properties: 
Description: Wielded long ago by Captain Silverhand, this dagger amplifies magical abilities. A thin layer of frost covers the weapon at all times."
"Generate a name for a chaos mace with the following properties: elemental, sentient, balanced",The Berserker's Claymore
Write a description for a weapon called 'The Berserker's Claymore',"Forged in the depths of the Phoenix Peaks, this mace seems to predict its wielder's thoughts."
Generate a fantasy weapon of type: mace,"Name: The Berserker's Claymore
Damage Type: Chaos
Damage: 3d4
Properties: Elemental, Sentient, Balanced
Description: Forged in the depths of the Phoenix Peaks, this mace seems to predict its wielder's thoughts."
Generate a name for a lightning longbow with the following properties: ,Nether Pike
Write a description for a weapon called 'Nether Pike',"Forged in the depths of the Astral Plane, this longbow freezes the air around it. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: longbow,"Name: Nether Pike
Damage Type: Lightning
Damage: 2d6
Properties: 
Description: Forged in the depths of the Astral Plane, this longbow freezes the air around it. Small sparks dance across the surface when wielded."
"Generate a name for a chaos pike with the following properties: elemental, ethereal",The Umbral Scythe
Write a description for a weapon called 'The Umbral Scythe',"A pike found in an ancient tomb, it leaves trails of elemental energy with every strike."
Generate a fantasy weapon of type: pike,"Name: The Umbral Scythe
Damage Type: Chaos
Damage: 2d4
Properties: Elemental, Ethereal
Description: A pike found in an ancient tomb, it leaves trails of elemental energy with every strike."
"Generate a name for a arcane spear with the following properties: vampiric, berserker",Pike of Dreams
Write a description for a weapon called 'Pike of Dreams',"Wielded long ago by King Thoran, this spear ignites enemies on contact."
